,ŠIFRA,NAZIV
1,01,"Poljoprivredna proizvodnja, lov i prateće uslužne delatnosti"
2,011,Gajenje jednogodišnjih i dvogodišnjih biljaka
3,0111,"Gajenje žita (osim pirinča), leguminoza i uljarica"
4,0112,Gajenje pirinča
5,0113,"Gajenje povrća, bostana, korenastih i krtolastih biljaka"
6,0114,Gajenje šećerne trske
7,0115,Gajenje duvana
8,0116,Gajenje biljaka za proizvodnju vlakana
9,0119,Gajenje ostalih jednogodišnjih i dvogodišnjih biljaka
10,012,Gajenje višegodišnjih biljaka
11,0121,Gajenje grožđa
12,0122,Gajenje tropskog i suptropskog voća
13,0123,Gajenje agruma
14,0124,Gajenje jabučastog i koštičavog voća
15,0125,"Gajenje ostalog drvenastog, žbunastog i jezgrastog voća"
16,0126,Gajenje uljnih plodova
17,0127,Gajenje biljaka za pripremanje napitaka
18,0128,"Gajenje začinskog, aromatičnog i lekovitog bilja"
19,0129,Gajenje ostalih višegodišnjih biljaka
20,013,Gajenje sadnog materijala
21,0130,Gajenje sadnog materijala
22,014,Uzgoj životinja
23,0141,Uzgoj muznih krava
24,0142,Uzgoj drugih goveda i bivola
25,0143,Uzgoj konja i drugih kopitara
26,0144,Uzgoj kamila i lama
27,0145,Uzgoj ovaca i koza
28,0146,Uzgoj svinja
29,0147,Uzgoj živine
30,0149,Uzgoj ostalih životinja
31,015,Mešovita poljoprivredna proizvodnja
32,0150,Mešovita poljoprivredna proizvodnja
33,016,Uslužne delatnosti u poljoprivredi i delatnosti posle žetve
34,0161,Uslužne delatnosti u gajenju useva i zasada
35,0162,Pomoćne delatnosti u uzgoju životinja
36,0163,Aktivnosti posle žetve
37,0164,Dorada semena
38,017,"Lov, traperstvo i odgovarajuće uslužne delatnosti"
39,0170,"Lov, traperstvo i odgovarajuće uslužne delatnosti"
40,02,Šumarstvo i seča drveća
41,021,Gajenje šuma i ostale šumarske delatnosti
42,0210,Gajenje šuma i ostale šumarske delatnosti
43,022,Seča drveća
44,0220,Seča drveća
45,023,Sakupljanje šumskih plodova
46,0230,Sakupljanje šumskih plodova
47,024,Uslužne delatnosti u vezi sa šumarstvom
48,0240,Uslužne delatnosti u vezi sa šumarstvom
49,03,Ribarstvo i akvakulture
50,031,Ribolov
51,0311,Morski ribolov
52,0312,Slatkovodni ribolov
53,032,Akvakulture
54,0321,Morske akvakulture
55,0322,Slatkovodne akvakulture
57,05,Eksploatacija uglja
58,051,Eksploatacija kamenog uglja i antracita
59,0510,Eksploatacija kamenog uglja i antracita
60,052,Eksploatacija lignita i mrkog uglja
61,0520,Eksploatacija lignita i mrkog uglja
62,06,Eksploatacija sirove nafte i prirodnog gasa
63,061,Eksploatacija sirove nafte
64,0610,Eksploatacija sirove nafte
65,062,Vađenje prirodnog gasa
66,0620,Eksploatacija prirodnog gasa
67,07,Eksploatacija ruda metala
68,071,Eksploatacija ruda gvožđa
69,0710,Eksploatacija ruda gvožđa
70,072,Eksploatacija ostalih ruda metala
71,0721,Eksploatacija ruda urana i torijuma
72,0729,"Eksploatacija ruda ostalih crnih, obojenih, plemenitih i drugih metala"
73,08,Ostalo rudarstvo
74,081,"Eksploatacija kamena, peska, gline i drugih sirovina za građevinske materijale"
75,0811,"Eksploatacija građevinskog i ukrasnog kamena, krečnjaka, gipsa, krede"
76,0812,"Eksploatacija šljunka, peska, gline i kaolina"
77,089,Eksploatacija ostalih ruda i kamena
78,0891,"Eksploatacija minerala, proizvodnja mineralnih đubriva i hemikalija"
79,0892,Eksploatacija treseta
80,0893,Eksploatacija natrijum-hlorida
81,0899,Eksploatacija ostalih nemetaličnih ruda i minerala
82,09,Uslužne delatnosti u rudarstvu i geološkim istraživanjima
83,091,Uslužne delatnosti u vezi sa istraživanjem i eksploatacijom nafte i gasa
84,0910,Uslužne delatnosti u vezi sa istraživanjem i eksploatacijom nafte i gasa
