ŠIFRA,NAZIV
A,"POLjOPRIVREDA, ŠUMARSTVO I RIBARSTVO"
01,"Poljoprivredna proizvodnja, lov i prateće uslužne delatnosti"
011,Gajenje jednogodišnjih i dvogodišnjih biljaka
0111,"Gajenje žita (osim pirinča), leguminoza i uljarica"
0112,Gajenje pirinča
0113,"Gajenje povrća, bostana, korenastih i krtolastih biljaka"
0114,Gajenje šećerne trske
0115,Gajenje duvana
0116,Gajenje biljaka za proizvodnju vlakana
0119,Gajenje ostalih jednogodišnjih i dvogodišnjih biljaka
012,Gajenje višegodišnjih biljaka
0121,Gajenje grožđa
0122,Gajenje tropskog i suptropskog voća
0123,Gajenje agruma
0124,Gajenje jabučastog i koštičavog voća
0125,"Gajenje ostalog drvenastog, žbunastog i jezgrastog voća"
0126,Gajenje uljnih plodova
0127,Gajenje biljaka za pripremanje napitaka
0128,"Gajenje začinskog, aromatičnog i lekovitog bilja"
0129,Gajenje ostalih višegodišnjih biljaka
013,Gajenje sadnog materijala
0130,Gajenje sadnog materijala
014,Uzgoj životinja
0141,Uzgoj muznih krava
0142,Uzgoj drugih goveda i bivola
0143,Uzgoj konja i drugih kopitara
0144,Uzgoj kamila i lama
0145,Uzgoj ovaca i koza
0146,Uzgoj svinja
0147,Uzgoj živine
0149,Uzgoj ostalih životinja
015,Mešovita poljoprivredna proizvodnja
0150,Mešovita poljoprivredna proizvodnja
016,Uslužne delatnosti u poljoprivredi i delatnosti posle žetve
0161,Uslužne delatnosti u gajenju useva i zasada
0162,Pomoćne delatnosti u uzgoju životinja
0163,Aktivnosti posle žetve
0164,Dorada semena
017,"Lov, traperstvo i odgovarajuće uslužne delatnosti"
0170,"Lov, traperstvo i odgovarajuće uslužne delatnosti"
02,Šumarstvo i seča drveća
021,Gajenje šuma i ostale šumarske delatnosti
0210,Gajenje šuma i ostale šumarske delatnosti
022,Seča drveća
0220,Seča drveća
023,Sakupljanje šumskih plodova
0230,Sakupljanje šumskih plodova
024,Uslužne delatnosti u vezi sa šumarstvom
0240,Uslužne delatnosti u vezi sa šumarstvom
03,Ribarstvo i akvakulture
031,Ribolov
0311,Morski ribolov
0312,Slatkovodni ribolov
032,Akvakulture
0321,Morske akvakulture
0322,Slatkovodne akvakulture
B,RUDARSTVO
05,Eksploatacija uglja
051,Eksploatacija kamenog uglja i antracita
0510,Eksploatacija kamenog uglja i antracita
052,Eksploatacija lignita i mrkog uglja
0520,Eksploatacija lignita i mrkog uglja
06,Eksploatacija sirove nafte i prirodnog gasa
061,Eksploatacija sirove nafte
0610,Eksploatacija sirove nafte
062,Vađenje prirodnog gasa
0620,Eksploatacija prirodnog gasa
07,Eksploatacija ruda metala
071,Eksploatacija ruda gvožđa
0710,Eksploatacija ruda gvožđa
072,Eksploatacija ostalih ruda metala
0721,Eksploatacija ruda urana i torijuma
0729,"Eksploatacija ruda ostalih crnih, obojenih, plemenitih i drugih metala"
08,Ostalo rudarstvo
081,"Eksploatacija kamena, peska, gline i drugih sirovina za građevinske materijale"
0811,"Eksploatacija građevinskog i ukrasnog kamena, krečnjaka, gipsa, krede"
0812,"Eksploatacija šljunka, peska, gline i kaolina"
089,Eksploatacija ostalih ruda i kamena
0891,"Eksploatacija minerala, proizvodnja mineralnih đubriva i hemikalija"
